Firm Name,firm_yoy_change,sector,change_bucket
Accord Mortgages Limited,-0.9350000000000023,Mortgage & Lending,3. -5 to 0%
Acm Ulr Limited,-7.500000000000007,Insurance,2. -10 to -5%
Adrian Flux Insurance Services Group,6.109999999999999,Insurance,5. 5 to 10%
Advisory Insurance Brokers Limited,-6.750000000000007,Insurance,2. -10 to -5%
Ageas Insurance Limited,-1.2899999999999991,Insurance,3. -5 to 0%
Ageas Retail Limited,11.0,Insurance,6. > 10%
Aioi Nissay Dowa Insurance UK Limited,-18.979999999999997,Insurance,1. < -10%
AJ Bell Management Limited,15.935000000000002,Banking,6. > 10%
Aldermore Bank Plc,-1.7700000000000102,Banking,3. -5 to 0%
Allianz Insurance Plc,-14.870000000000005,Insurance,1. < -10%
AMERICAN INTERNATIONAL GROUP UK LIMITED,-15.54,Insurance,1. < -10%
Animal Friends Insurance Services Ltd,8.469999999999999,Insurance,5. 5 to 10%
Arthur J. Gallagher Insurance Brokers Limited,7.719999999999999,Insurance,5. 5 to 10%
Assurant General Insurance Limited,-9.89,Insurance,2. -10 to -5%
Astrenska Insurance Limited,0.7999999999999972,Insurance,4. 0 to 5%
Asurion Europe Limited,-14.77,Insurance,1. < -10%
Atlanta Insurance Intermediaries Limited,3.8299999999999983,Insurance,4. 0 to 5%
Automobile Association Insurance Services Limited,2.3800000000000026,Insurance,4. 0 to 5%
Aviva Insurance Limited,-3.740000000000009,Insurance,3. -5 to 0%
Aviva Life Services UK Limited,1.0874999999999844,Insurance,4. 0 to 5%
AWP Assistance UK Ltd,0.9900000000000091,Insurance,4. 0 to 5%
AXA Insurance UK Plc,-8.430000000000007,Insurance,2. -10 to -5%
AXA PPP Healthcare Limited,2.0899999999999963,Insurance,4. 0 to 5%
Bank of Ireland (UK) Plc,-18.405,Banking,1. < -10%
Bank of Scotland plc,7.421999999999997,Banking,5. 5 to 10%
Barclays Bank Plc,-2.9108333333333434,Banking,3. -5 to 0%
Barclays Bank UK PLC,-12.20600000000001,Banking,1. < -10%
BISL Limited,-6.739999999999995,Insurance,2. -10 to -5%
British Gas Services Limited,-3.7099999999999937,Energy & Utilities,3. -5 to 0%
BUPA Insurance Services Limited,1.4500000000000028,Insurance,4. 0 to 5%
Cabot Credit Management Group Limited,9.184999999999995,Mortgage & Lending,5. 5 to 10%
Capital One (Europe) plc,0.5800000000000125,Banking,4. 0 to 5%
Charter Court Financial Services Limited,3.884999999999998,Banking,4. 0 to 5%
ClearBank Limited,14.019999999999996,Banking,6. > 10%
Close Brothers Limited,-5.474999999999994,Banking,2. -10 to -5%
Clydesdale Bank Plc,12.378499999999995,Banking,6. > 10%
Cofunds Limited,-16.105000000000004,Insurance,1. < -10%
Connells Limited,-2.979999999999997,Mortgage & Lending,3. -5 to 0%
Coutts & Company,-3.5919999999999916,Investments,3. -5 to 0%
Covea Insurance plc,-7.130000000000003,Insurance,2. -10 to -5%
Coventry Building Society,-15.24333333333334,Banking,1. < -10%
Creation Consumer Finance Ltd,-27.014999999999993,Mortgage & Lending,1. < -10%
Creation Financial Services Limited,-30.784999999999997,Insurance,1. < -10%
Domestic & General Insurance Plc,-15.139999999999993,Insurance,1. < -10%
Elderbridge Limited,2.134999999999998,Mortgage & Lending,4. 0 to 5%
Equiniti Financial Services Limited,24.65500000000001,Insurance,6. > 10%
ERGO TRAVEL INSURANCE SERVICES LTD,-12.329999999999998,Insurance,1. < -10%
esure Insurance Limited,5.260000000000005,Insurance,5. 5 to 10%
EUI Limited,6.329999999999998,Insurance,5. 5 to 10%
Exeter Friendly Society Limited,-30.64,Insurance,1. < -10%
Family Equity Plan Limited,22.065,Investments,6. > 10%
Financial Administration Services Limited,-0.835000000000008,Insurance,3. -5 to 0%
First Central Insurance Management Limited,0.44000000000000483,Insurance,4. 0 to 5%
Fortegra Europe Insurance Company Ltd,7.359999999999999,Insurance,5. 5 to 10%
Funding Circle Ltd,25.990000000000002,Investments,6. > 10%
Halifax Share Dealing Limited,4.460000000000001,Insurance,4. 0 to 5%
Hargreaves Lansdown Asset Management Limited,10.200000000000003,Energy & Utilities,6. > 10%
Hastings Insurance Services Limited,-8.57,Insurance,2. -10 to -5%
HBOS Investment Fund Managers Limited,0.25,Investments,4. 0 to 5%
Highway Insurance Company Limited,-10.310000000000002,Insurance,1. < -10%
