Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_complaints,period,year,half,sector,period_sort
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,2022-01-01 to 2022-06-30,3.0,,605.0,,,608.0,2022-h1,2022,h1,Mortgage & Lending,1
Acm Ulr Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,1261.0,,1261.0,2022-h1,2022,h1,Insurance,1
Adrian Flux Insurance Services Group,NO GROUP,2021-09-01 to 2022-02-28,,,,1058.0,,1058.0,2022-h1,2022,h1,Insurance,1
Advanced Payment Solutions Limited,NO GROUP,2021-10-01 to 2022-03-31,989.0,,,,,989.0,2022-h1,2022,h1,Banking,1
Advisory Insurance Brokers Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,591.0,,591.0,2022-h1,2022,h1,Insurance,1
Affinity Insurance Solutions Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,1545.0,,1545.0,2022-h1,2022,h1,Insurance,1
Ageas Insurance Limited,AGEAS SA-NV,2022-01-01 to 2022-06-30,,,,5127.0,,5127.0,2022-h1,2022,h1,Insurance,1
Ageas Retail Limited,AGEAS SA-NV,2022-01-01 to 2022-06-30,,,,1666.0,,1666.0,2022-h1,2022,h1,Insurance,1
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,2022-01-01 to 2022-06-30,1180.0,,31.0,3.0,,1214.0,2022-h1,2022,h1,Banking,1
Aioi Nissay Dowa Insurance UK Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,2369.0,,2369.0,2022-h1,2022,h1,Insurance,1
AJ Bell Management Limited,NO GROUP,2021-10-01 to 2022-03-31,14.0,489.0,,,,503.0,2022-h1,2022,h1,Insurance,1
Aldermore Bank Plc,FIRSTRAND LIMITED,2022-01-01 to 2022-06-30,785.0,,581.0,,,1366.0,2022-h1,2022,h1,Banking,1
Allianz Insurance Plc,NO GROUP,2022-01-01 to 2022-06-30,,,,4566.0,,4566.0,2022-h1,2022,h1,Insurance,1
American Express Services Europe Limited (AESEL),AMERICAN EXPRESS,2022-01-01 to 2022-06-30,5106.0,,,34.0,,5140.0,2022-h1,2022,h1,Banking,1
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2021-12-01 to 2022-05-31,,,,15948.0,,15948.0,2022-h1,2022,h1,Insurance,1
Amtrust Europe Limited,AMTRUST FINANCIAL SERVICES INC,2022-01-01 to 2022-06-30,,,,2491.0,,2491.0,2022-h1,2022,h1,Insurance,1
Animal Friends Insurance Services Ltd,NO GROUP,2022-01-01 to 2022-06-30,,,,3673.0,,3673.0,2022-h1,2022,h1,Insurance,1
Arthur J. Gallagher Insurance Brokers Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,841.0,,841.0,2022-h1,2022,h1,Insurance,1
