Firm Name,Group,Reporting period,Banking and credit cards,Decumulation & pensions,Home finance,Insurance & pure protection,Investments,total_upheld_rate,period,year,half,sector,avg_upheld_rate,period_sort,period_date,industry_avg,upheld_deviation,firm_yoy_change,volatility_score
Accord Mortgages Limited,ACCORD MORTGAGES LIMITED,2022-01-01 to 2022-06-30,1.0,,0.5982,,,,2022-h1,2022,h1,Mortgage & Lending,79.91,1,2022-01-01,52.00837250000001,27.90162749999999,-0.9350000000000024,16.357264038231776
Acm Ulr Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.5362,,,2022-h1,2022,h1,Insurance,53.620000000000005,1,2022-01-01,52.00837250000001,1.611627499999997,-7.500000000000007,25.908595345038783
Adrian Flux Insurance Services Group,NO GROUP,2021-09-01 to 2022-02-28,,,,0.1611,,,2022-h1,2022,h1,Insurance,16.11,1,2022-01-01,52.00837250000001,-35.89837250000001,6.109999999999999,6.140000000000001
Advanced Payment Solutions Limited,NO GROUP,2021-10-01 to 2022-03-31,0.1675,,,,,,2022-h1,2022,h1,Banking,16.75,1,2022-01-01,52.00837250000001,-35.25837250000001,,4.035545224006771
Advisory Insurance Brokers Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.6715,,,2022-h1,2022,h1,Insurance,67.15,1,2022-01-01,52.00837250000001,15.141627499999998,-6.750000000000007,11.54
Affinity Insurance Solutions Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.544,,,2022-h1,2022,h1,Insurance,54.400000000000006,1,2022-01-01,52.00837250000001,2.3916274999999985,,32.790000000000006
Ageas Insurance Limited,AGEAS SA-NV,2022-01-01 to 2022-06-30,,,,0.491,,,2022-h1,2022,h1,Insurance,49.1,1,2022-01-01,52.00837250000001,-2.908372500000006,-1.2899999999999991,9.929082100968898
Ageas Retail Limited,AGEAS SA-NV,2022-01-01 to 2022-06-30,,,,0.3921,,,2022-h1,2022,h1,Insurance,39.21,1,2022-01-01,52.00837250000001,-12.798372500000006,11.0,11.0
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,2022-01-01 to 2022-06-30,0.6012,,0.7097,0.5,,,2022-h1,2022,h1,Mortgage & Lending,60.36333333333334,1,2022-01-01,52.00837250000001,8.35496083333333,,40.265
Aioi Nissay Dowa Insurance UK Limited,NO GROUP,2022-01-01 to 2022-06-30,,,,0.6273,,,2022-h1,2022,h1,Insurance,62.73,1,2022-01-01,52.00837250000001,10.72162749999999,-18.98,18.979999999999997
